Invoice,revenue
489434,505.3
489435,145.79999999999998
489436,630.33
489437,310.75
489438,2286.24
489439,426.3
489440,50.4
489441,344.34000000000003
489442,382.37
489443,285.06
489444,141.0
489445,308.44
489446,996.1
489447,130.0
489448,570.24
489450,196.10000000000002
489460,485.79
489461,589.33
489462,148.3
489465,1197.8000000000002
489488,251.1
489505,255.5
489514,823.02
489517,282.46000000000004
489519,696.73
489520,733.63
489522,700.31
489523,1160.0
489526,929.92
489529,229.46
489531,145.0
489532,304.53000000000003
489533,192.75
489536,367.40999999999997
489537,633.33
489539,2887.14
489540,537.96
489542,387.6
489544,281.82
489545,124.95
489546,584.5
489547,641.45
489550,482.3
489552,278.61
489556,379.65
489557,603.94
489558,291.58000000000004
489559,128.60000000000002
489560,859.0999999999999
489561,246.86
489562,229.6
489564,322.9
489566,218.54999999999998
489567,307.8
489569,282.28
489571,156.71
489572,507.49
489573,580.02
489574,551.33
489575,367.28000000000003
489576,319.66
489579,219.82
489580,261.0
489581,124.83000000000001
489582,293.95
489584,21.95
489585,105.85
489586,263.42
489590,362.78000000000003
489593,423.87
489594,322.33
489598,822.37
489599,2454.68
489606,2.1
489611,2.95
489613,12.75
489617,198.0
489634,17.4
489635,352.85
489637,535.9
489639,31.200000000000003
489640,329.90999999999997
489641,622.1
489644,896.5400000000001
489645,261.74
489650,173.1
489652,294.14
489654,222.12
489656,1237.3
489657,55.2
489658,828.09
489661,23.48
489662,73.75
489664,374.43
489665,252.3
489666,263.09000000000003
489667,538.46
489668,378.12
489669,397.20000000000005
489670,114.60000000000001
489671,740.3
489672,772.65
489673,61.099999999999994
489674,261.3
489675,4939.22
489676,1210.8
489677,192.0
489678,189.29999999999998
489679,795.98
489680,45.0
489681,89.59
489682,125.73
489683,1317.97
489684,266.6
489687,221.53
489688,299.70000000000005
489695,306.95
489699,401.7
489702,3108.64
489705,17.0
489723,2052.12
489725,216.0
489726,750.0
489727,900.0
489728,180.45
489733,168.0
489743,538.77
489748,754.2
489764,223.1
489765,285.59
489766,130.18
489780,159.98000000000002
489782,230.46
489783,162.04
489784,40.8
489785,333.67
489786,216.86
489787,319.54
489788,119.16
489789,80.4
489790,131.12
489791,221.19
489792,923.79
489793,260.36
489794,58.2
489795,935.01
489796,311.5
489797,200.63
489798,311.69
489800,408.07
489801,128.48000000000002
489802,174.52
489804,251.17000000000002
489805,454.35
489807,180.13
489808,109.84
489809,112.5
489810,493.25
489811,634.29
489812,597.6899999999999
489814,824.1800000000001
489815,132.55
489816,284.55
489817,340.2
489818,294.3
489819,618.4300000000001
489822,371.27000000000004
489823,87.30000000000001
489824,176.88
489825,174.1
489826,85.95
489827,445.7
489829,472.47
489830,637.04
489831,1008.0
489832,316.22
489833,150.68
489834,214.79999999999998
489835,714.0
489837,514.97
489840,89.69999999999999
489855,157.91
489862,734.7
489863,66.82
489864,206.85
489865,234.87
489866,1003.83
489868,675.0
489869,39.980000000000004
489870,162.1
489871,735.7
489872,632.9
489873,10.2
489874,176.6
489875,530.76
489876,39.85
489877,368.1
489878,143.11
489879,163.47
489880,380.28000000000003
489883,578.28
489884,3.61
489888,597.4
489889,4734.24
489890,976.8
489891,181.08
489893,300.1
489894,520.2
489895,371.82
489896,337.93
489897,260.44
489900,287.37
489902,119.10000000000001
489904,203.78
489905,478.7
489906,120.0
489907,202.06
489908,107.33
489909,642.2
489910,144.0
489912,1146.1000000000001
489913,69.6
489914,993.0
489915,54.599999999999994
489916,336.0
489932,82.6
489935,181.65
489994,430.9
489996,320.40000000000003
489998,321.65
489999,154.2
490000,143.06
490001,169.5
490002,114.55
490003,317.55
490004,912.5600000000001
490005,556.75
490006,344.40000000000003
490008,503.93
490009,285.09
490010,1008.0
490011,221.69
490012,763.35
490013,500.55
490014,744.21
490017,393.65
490018,4380.0
490019,308.6
490020,37.8
490021,10.2
490022,45.60000000000001
490023,189.15
490024,215.0
490034,69.82
490045,180.39
490046,228.3
490047,263.85
490048,1146.71
490049,102.0
490050,13.5
490052,831.0
490053,119.54
490054,277.5
490056,61.12
490057,360.52
490058,47.85
490059,14475.0
490060,314.22
490061,4000.0
490062,165.3
490063,210.39
490064,355.59000000000003
490065,1260.0
490066,372.2
490067,952.61
490068,284.3
490069,161.39999999999998
490070,236.25
490071,294.85
490072,194.65
490073,258.1
490075,381.0
490077,115.50999999999999
490078,584.35
490079,160.35
490080,311.7
490081,723.09
490082,337.9
490083,2506.14
490085,170.06
490086,799.2
490087,898.1800000000001
490088,17.0
490089,466.20000000000005
490090,45.55
490091,636.0
490092,510.87
490093,1794.7
490094,851.76
490095,186.36
490097,279.42
490099,1225.98
490100,869.9300000000001
490101,338.5
490106,314.37
490107,110.69999999999999
490108,239.68
490109,415.0
490110,30.15
490111,321.21000000000004
490112,313.19
490113,39.2
490114,257.62
490115,342.6
490116,122.39999999999999
490118,317.04
490119,108.75
490121,112.03
490124,319.87
490125,297.05
490127,569.1800000000001
490128,241.8
490132,197.3
490134,151.65
490135,387.87
490136,174.85
490137,160.69
490138,339.78
490139,210.55
490140,407.22
490141,308.75
490142,1261.0
490143,1610.52
490144,337.1
490145,989.18
490147,510.64
490151,160.39
490152,682.65
490154,290.48
490156,455.36
490157,138.0
490158,508.26
490159,19.5
490160,244.79999999999998
490161,825.94
490162,280.2
490163,141.63
490164,1058.4
490166,371.85
490167,312.21
490171,29.28
490202,410.0
490209,908.0400000000001
490212,108.95
490214,319.15
490218,67.67999999999999
490219,155.65
490229,1185.16
490247,351.3
490258,20.4
490266,231.2
490272,521.38
490277,1077.6
490279,317.83
490281,311.2
490282,107.95
490284,439.46
490285,373.74
490286,762.1
490287,367.1
490288,332.16
490289,273.75
490290,164.03
490291,424.03
490292,460.55
490293,137.4
490294,378.96
490295,435.88
490297,694.2
490298,1523.2
490299,621.22
490300,260.64
490301,345.27
490302,303.62
490303,106.25
490304,843.01
490305,726.57
490308,194.53
490310,231.90000000000003
490311,307.65000000000003
490312,326.13
490313,137.95
490320,867.89
490323,236.69
490324,672.0
490326,149.10000000000002
490327,990.0
490331,298.99
490340,630.39
490341,334.65
490342,130.8
490346,216.6
490347,109.4
490349,32.25
490353,532.28
490355,538.1099999999999
490356,117.13000000000001
490359,59.5
490360,126.8
490362,220.9
490363,138.24
490364,103.95
490365,351.6
490366,227.25
490367,79.6
490368,159.1
490369,230.2
490370,452.95
490371,233.70999999999998
490372,434.15
490373,502.54
490374,136.75
490375,350.55
490376,796.5500000000001
490377,15.0
490378,224.1
490380,478.74
490381,97.11
490382,760.69
490383,148.3
490385,130.32
490386,549.77
490387,450.84000000000003
490388,146.62
490389,689.5
490390,256.2
490391,304.1
490392,203.32
490393,281.02
490394,870.2800000000001
490395,283.15
490396,269.15
490397,309.1
490398,567.71
490399,441.63
490400,689.9
490401,139.25
490403,316.74
490404,188.69
490405,260.65
490408,413.44
490430,253.55
490458,817.4399999999999
490459,950.69
490461,720.79
490463,305.5
490464,118.25999999999999
490465,933.35
490466,183.6
490467,280.94
490468,204.24
490470,242.96
490471,212.13
490472,619.24
490473,204.65
490474,748.42
490476,211.62
490477,533.14
490478,302.5
490479,1450.2
490481,21.25
490482,289.3
490483,132.4
490484,186.6
490485,125.94
490486,90.0
490487,81.3
490488,647.82
490489,266.19
490490,547.73
490491,175.20000000000002
490493,12.75
490494,192.26999999999998
490496,671.56
490499,406.70000000000005
490500,355.13
490501,285.64
490502,101.4
490503,582.12
490504,391.92
490505,98.16
490506,25.46
490508,450.84000000000003
490511,626.6
490512,235.13
490514,137.75
490515,147.4
490516,504.54
490518,474.32
490519,213.65
490521,235.84
490522,150.4
490524,436.18
490525,255.00000000000003
490526,533.97
490527,182.01
490528,118.25
490529,48.89
490530,161.8
490531,166.95
490533,378.05
490534,263.68
490535,560.58
490536,221.9
490537,209.41
490538,504.54
490539,346.0
490542,716.35
490545,34.0
490547,311.2
490548,504.54
490557,463.0
490561,41.300000000000004
490563,808.12
490564,367.9
490569,411.20000000000005
490577,187.19
490603,287.49
490604,682.4
490605,191.74
490606,426.0
490607,173.54999999999998
490608,163.77
490609,218.33
490610,211.62
490611,312.65
490612,610.95
490613,224.98
490616,214.79999999999998
490618,44.7
490625,362.6
490636,425.09000000000003
490637,452.15999999999997
490638,147.1
490640,321.00000000000006
490641,51.0
490642,446.4
490653,990.48
490657,208.82999999999998
490659,380.84000000000003
490665,76.5
490667,238.85
490668,312.33000000000004
490669,214.17000000000002
490670,143.70000000000002
490671,488.16
490672,660.96
490673,156.5
490674,242.1
490675,696.5400000000001
490676,451.44
490677,151.72
490678,380.65000000000003
490679,379.16
490680,293.35
490681,164.75
490682,285.9
490683,413.00000000000006
490684,74.56
490685,1066.82
490686,153.28
490687,924.95
490689,307.90999999999997
490690,207.9
490691,306.0
490692,195.78
490693,190.47
490694,1244.3200000000002
490695,108.4
490697,378.84000000000003
490703,154.2
490704,355.38
490705,204.0
490706,1088.63
490707,45.9
490708,241.05
490709,198.98000000000002
490710,332.70000000000005
490711,448.96
490712,331.40000000000003
490714,4.95
490717,449.95
490718,485.31
490719,668.1
490720,357.87
490722,386.39
490724,716.04
490725,343.44
490726,561.5999999999999
490727,285.35
490728,221.52
490733,412.6
490734,306.55
490737,389.62
490738,25.5
490747,8.92
490749,580.6400000000001
490750,312.96
490751,1429.83
490752,356.40000000000003
490753,322.65
490754,302.78000000000003
490755,338.34000000000003
490757,425.59000000000003
490759,182.88
490760,10.0
490761,255.04
490762,323.39
490763,1019.9999999999999
490764,306.45
490767,44.32
490769,221.0
490770,135.94
490782,707.93
490785,2590.7999999999997
490786,30.599999999999998
490789,192.54999999999998
490796,870.63
490797,155.7
490800,7.800000000000001
490801,660.0
490802,19.5
490803,207.32
490804,487.09000000000003
490805,215.0
490806,39.400000000000006
490808,134.04
490809,159.0
490810,259.92
490811,309.7
490817,1806.19
490823,304.8
490834,564.38
490836,2.9
490838,20.25
490846,129.3
490847,249.64
490851,311.8
490855,363.6
490863,88.05
490871,211.41
490881,10.0
490893,111.24000000000001
490899,792.84
490905,656.85
490917,312.9
490920,109.08
490921,42.300000000000004
490922,114.3
490924,123.1
490925,648.5
490926,250.02
490927,304.20000000000005
490928,404.44
490930,81.12
490932,12.4
490933,2452.56
490936,366.9
490937,2285.58
490938,215.3
490940,0.95
490941,644.52
490944,151.2
490945,97.55
490948,15.0
490953,966.6600000000001
490954,102.82
490956,2442.7200000000003
490957,3796.37
490958,328.8
490959,507.9
490961,194.75
490962,683.14
490964,104.15
490966,436.71
490968,484.0
490971,372.64
490972,728.0500000000001
490978,193.08
490981,313.45
490982,8.82
490984,303.45
490989,462.46
490990,271.85
490992,438.74
490998,379.13
490999,24.65
491006,272.5
491007,213.27
491008,191.89000000000001
491009,255.68
491010,318.0
491011,389.99
491014,549.09
491024,383.04
491025,325.44
491026,162.72
491033,328.02000000000004
491034,305.5
491035,295.35
491038,528.9
491039,301.0
491044,234.38
491045,303.2
491048,519.42
491049,748.9
491050,333.8
491051,408.51
491054,320.2
491055,219.55
491056,1007.74
491057,77.8
491058,307.95
491059,285.29999999999995
491060,392.40000000000003
