Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
325,12,77556.46,bad,high,high,Loyal
1,8,5633.32,good,high,high,VIP
74,5,2019.4,medium,medium,high,Loyal
18,4,4428.69,good,medium,high,Loyal
309,1,334.4,bad,low,medium,Lost
374,1,300.93,bad,low,medium,Lost
35,10,2849.84,medium,high,high,Loyal
203,2,406.76,bad,low,medium,Lost
231,1,1079.4,bad,low,high,Lost
213,2,947.61,bad,low,high,Lost
22,6,6373.68,good,medium,high,VIP
32,3,18287.66,medium,medium,high,Loyal
1,5,3887.07,good,medium,high,VIP
57,10,8935.94,medium,high,high,Loyal
51,8,4252.89,medium,high,high,Loyal
286,4,511.25,bad,medium,high,Loyal
2,11,5356.23,good,high,high,VIP
109,2,552.0,bad,low,high,Lost
7,4,1313.1,good,medium,high,Loyal
290,2,641.38,bad,low,high,Lost
633,1,500.24,bad,low,high,Lost
3,1,168.9,good,low,medium,At Risk
627,1,917.6999999999999,bad,low,high,Lost
412,3,1791.15,bad,medium,high,Loyal
50,7,4320.31,medium,high,high,Loyal
44,5,4067.38,medium,medium,high,Loyal
71,3,1298.04,medium,medium,high,Loyal
310,3,1127.65,bad,medium,high,Loyal
24,4,2989.2200000000003,good,medium,high,Loyal
10,2,457.5,good,low,medium,At Risk
389,2,503.15,bad,low,high,Lost
314,4,3426.32,bad,medium,high,Loyal
129,2,5416.32,bad,low,high,Lost
81,4,1620.22,medium,medium,high,Loyal
21,11,9676.300000000001,good,high,high,VIP
4,5,1845.31,good,medium,high,VIP
184,5,1850.56,bad,medium,high,Loyal
28,2,585.27,good,low,high,At Risk
378,1,1938.4,bad,low,high,Lost
337,2,660.8,bad,low,high,Lost
414,1,143.94,bad,low,medium,Lost
15,8,3901.11,good,high,high,VIP
402,3,1433.33,bad,medium,high,Loyal
79,1,549.84,medium,low,high,At Risk
21,6,2773.42,good,medium,high,VIP
590,1,234.75000000000003,bad,low,medium,Lost
71,6,2399.4500000000003,medium,medium,high,Loyal
63,2,1272.48,medium,low,high,At Risk
18,15,5067.27,good,high,high,VIP
673,1,931.43,bad,low,high,Lost
35,2,2409.9,medium,low,high,At Risk
45,1,1635.6599999999999,medium,low,high,At Risk
118,7,1962.3,bad,high,high,Loyal
413,1,205.25,bad,low,medium,Lost
302,1,84.3,bad,low,low,Lost
322,6,1256.9,bad,medium,high,Loyal
49,2,1019.36,medium,low,high,At Risk
681,1,63.24,bad,low,low,Lost
148,1,1710.39,bad,low,high,Lost
21,5,6390.36,good,medium,high,VIP
49,5,1708.1200000000001,medium,medium,high,Loyal
32,8,4340.7699999999995,medium,high,high,Loyal
78,7,23419.29,medium,high,high,Loyal
308,3,1013.71,bad,medium,high,Loyal
409,1,346.9,bad,low,medium,Lost
74,6,2596.93,medium,medium,high,Loyal
66,4,999.45,medium,medium,high,Loyal
216,6,952.41,bad,medium,high,Loyal
23,28,144458.37,good,high,high,VIP
656,1,202.56,bad,low,medium,Lost
2,20,6816.91,good,high,high,VIP
112,4,2021.2,bad,medium,high,Loyal
385,2,503.01,bad,low,high,Lost
63,1,600.39,medium,low,high,At Risk
15,6,1098.6,good,medium,high,VIP
95,17,5231.8,bad,high,high,Loyal
0,10,2622.39,,high,high,VIP
162,4,3340.03,bad,medium,high,Loyal
77,2,1741.41,medium,low,high,At Risk
194,2,1345.21,bad,low,high,Lost
21,3,1129.3,good,medium,high,Loyal
25,9,7956.46,good,high,high,VIP
8,8,7485.91,good,high,high,VIP
42,1,256.4,medium,low,medium,At Risk
35,27,10857.97,medium,high,high,Loyal
42,5,5059.32,medium,medium,high,Loyal
0,10,20581.26,,high,high,VIP
84,3,1103.43,medium,medium,high,Loyal
79,6,13925.93,medium,medium,high,Loyal
99,1,509.01,bad,low,high,Lost
1,39,12683.4,good,high,high,VIP
13,2,2906.85,good,low,high,At Risk
682,2,1158.18,bad,low,high,Lost
461,2,859.2,bad,low,high,Lost
366,1,347.1,bad,low,medium,Lost
2,1,172.06,good,low,medium,At Risk
731,1,485.31,bad,low,medium,Lost
20,5,5005.46,good,medium,high,VIP
21,2,434.98,good,low,medium,At Risk
57,1,1002.3100000000001,medium,low,high,At Risk
242,1,476.49,bad,low,medium,Lost
43,1,449.45,medium,low,medium,At Risk
21,6,4835.89,good,medium,high,VIP
155,5,688.2,bad,medium,high,Loyal
10,8,12669.88,good,high,high,VIP
16,2,430.57,good,low,medium,At Risk
133,1,707.09,bad,low,high,Lost
55,5,16679.78,medium,medium,high,Loyal
72,10,5879.95,medium,high,high,Loyal
43,3,3181.04,medium,medium,high,Loyal
65,8,2995.91,medium,high,high,Loyal
70,4,1777.49,medium,medium,high,Loyal
604,1,454.36,bad,low,medium,Lost
455,1,326.65,bad,low,medium,Lost
93,2,826.88,bad,low,high,Lost
18,2,1189.59,good,low,high,At Risk
52,4,1344.78,medium,medium,high,Loyal
9,8,1212.05,good,high,high,VIP
16,2,742.1899999999999,good,low,high,At Risk
681,1,56.73,bad,low,low,Lost
422,1,132.8,bad,low,medium,Lost
187,5,3670.74,bad,medium,high,Loyal
522,2,3070.54,bad,low,high,Lost
689,1,211.95,bad,low,medium,Lost
1,79,39963.79,good,high,high,VIP
31,19,17880.59,medium,high,high,Loyal
28,5,3938.5499999999997,good,medium,high,VIP
16,31,12424.45,good,high,high,VIP
53,2,1149.64,medium,low,high,At Risk
15,23,14115.41,good,high,high,VIP
22,9,20276.37,good,high,high,VIP
3,1,680.99,good,low,high,At Risk
10,1,527.2,good,low,high,At Risk
27,7,5464.85,good,high,high,VIP
22,15,12361.39,good,high,high,VIP
575,29,23691.4,bad,high,high,Loyal
16,19,5120.58,good,high,high,VIP
32,12,6370.15,medium,high,high,Loyal
528,1,708.1,bad,low,high,Lost
431,1,1037.28,bad,low,high,Lost
730,1,285.29999999999995,bad,low,medium,Lost
9,3,1298.66,good,medium,high,Loyal
335,1,334.93,bad,low,medium,Lost
4,21,9823.64,good,high,high,VIP
38,1,460.40000000000003,medium,low,medium,At Risk
62,3,715.21,medium,medium,high,Loyal
165,2,433.74,bad,low,medium,Lost
15,9,1872.8700000000001,good,high,high,VIP
640,1,357.4,bad,low,medium,Lost
619,2,54.09,bad,low,low,Lost
81,3,6248.5,medium,medium,high,Loyal
20,3,403.70000000000005,good,medium,medium,Loyal
559,1,393.72,bad,low,medium,Lost
22,19,5955.21,good,high,high,VIP
336,1,2169.39,bad,low,high,Lost
